neighborhood,city,current_price,baseline_cagr,recovery_cagr,peak_price_2022,distance_from_peak,median_nightly_rate,median_monthly_str_income,median_bedrooms,occupancy_rate,listing_count,monthly_mortgage,monthly_property_tax,monthly_insurance,monthly_maintenance,monthly_base_costs,str_utilities,str_cleaning,str_supplies,str_platform_fees,str_additional_costs,str_total_costs,str_monthly_cash_flow,str_annual_cash_flow,str_cash_on_cash_return,estimated_ltr_rent,ltr_effective_rent,ltr_monthly_cash_flow,ltr_annual_cash_flow,ltr_cash_on_cash_return,str_total_invested,str_cumulative_cash_flow,str_appreciation_gain,str_principal_paydown,str_total_return,str_roi_pct,str_annualized_roi,ltr_total_invested,ltr_cumulative_cash_flow,ltr_appreciation_gain,ltr_principal_paydown,ltr_total_return,ltr_roi_pct,ltr_annualized_roi,metro,metro_display,state,has_str_data
Wells Branch,Austin,383838.3822807209,4.607054439994096,-4.877962951692383,487773.9388924224,-21.30814057997967,0.0,0.0,0.0,0.0,0,2042.949067815236,703.7037008479883,159.9326592836337,319.8653185672674,3226.4507465141255,200,300,75,0.0,575.0,3801.4507465141255,-3801.4507465141255,-45617.40895816951,-59.422677699812645,2494.949484824686,2295.353526038711,-931.0972204754144,-11173.166645704972,-14.554519768600754,88282.8279245658,-228087.04479084755,72041.20793574123,18020.168444359442,-138025.66841074688,-156.3448653102553,-100.0,88282.8279245658,-60517.47456977137,72041.20793574123,18020.168444359442,29543.9018103293,33.46506053880988,5.94330512839345,austin,"Austin, TX",TX,True
Garrison Park,Austin,400607.8507815807,5.393111716013732,-5.701031956784231,531923.545318842,-24.68694903485593,0.0,0.0,0.0,0.0,0,2132.203221706842,734.447726432898,166.91993782565865,333.8398756513173,3367.410761616716,200,300,75,0.0,575.0,3942.410761616716,-3942.410761616716,-47308.92913940059,-59.04643287332173,2603.9510300802744,2395.634947673853,-971.7758139428634,-11661.30976731436,-14.554519768600757,92139.80567976358,-236544.64569700297,75188.60752632923,18807.449396598502,-142548.58877407524,-154.70901823855573,-100.0,92139.80567976358,-63161.41517185313,75188.60752632923,18807.449396598502,30834.641751074603,33.46506053880981,5.94330512839345,austin,"Austin, TX",TX,True
Allandale,Austin,756816.6736183899,5.241175964769229,-4.322147226345563,956314.9550011128,-20.86114834233569,179.0,2421.270588235294,2.0,43.76899696048632,25,4028.0961708121895,1387.497234967048,315.3402806743291,630.6805613486582,6361.614247802225,200,300,75,72.63811764705882,647.6381176470588,7009.252365449283,-4587.9817772139895,-55055.78132656787,-36.373261349636095,4919.308378519534,4525.7637082379715,-1835.8505395642533,-22030.20647477104,-14.554519768600752,174067.83493222969,-275278.90663283935,142044.125523392,35530.48514603486,-97704.2959634125,-56.130011613835485,-15.192647853580487,174067.83493222969,-119322.70433076045,142044.125523392,35530.48514603486,58251.906338666406,33.46506053880993,5.943305128393472,austin,"Austin, TX",TX,True
Montopolis,Austin,316500.05007051106,4.375502233433526,-9.494366398757737,458355.70795169874,-30.948814516811108,120.0,1024.5925925925926,2.0,30.708661417322837,135,1684.5461842899772,580.2500917959369,131.87502086271294,263.7500417254259,2660.421338674053,200,300,75,30.737777777777776,605.7377777777778,3266.159116451831,-2241.5665238592383,-26898.79828631086,-42.49414538847347,2057.2503254583216,1892.670299421656,-767.751039252397,-9213.012471028764,-14.554519768600754,72795.01151621755,-134493.99143155428,59402.725134784996,14858.816830745258,-60232.44946602403,-82.74255091312845,-29.628741133501958,72795.01151621755,-49900.64729239444,59402.725134784996,14858.816830745258,24360.894673135816,33.465060538809865,5.94330512839345,austin,"Austin, TX",TX,True
North Burnet,Austin,209844.71525931943,8.899779878417258,-11.924820348885579,328927.38729123754,-36.203331383434,117.0,1368.0,1.0,30.16759776536313,87,1116.881701297522,384.71531130875223,87.43529802471643,174.87059604943286,1763.9029066804237,200,300,75,41.04,616.04,2379.9429066804237,-1011.9429066804237,-12143.314880165084,-28.93404979286412,1678.7577220745554,1544.4571043085912,-219.44580237183254,-2633.3496284619905,-6.274519768600749,48264.284509643476,-60716.57440082542,39384.979366541986,9851.63884253247,-11479.956191750964,-23.78561354091389,-5.287480087396579,48264.284509643476,-14263.0710010063,39384.979366541986,9851.63884253247,34973.54720806816,72.4625829708099,11.516460668310202,austin,"Austin, TX",TX,True
Brentwood,Austin,589838.6410133202,4.932361583401601,-5.430502971168549,773145.0961284987,-23.709191978721744,96.0,1086.6382978723404,1.0,37.5,93,3139.3689569540797,1081.3708418577537,245.76610042221674,491.5322008444335,4958.038100078484,200,300,75,32.59914893617021,607.5991489361702,5565.637249014654,-4478.998951142314,-53747.987413707764,-45.561602509943036,3539.0318460799213,3255.9092983935275,-1702.1288016849562,-20425.545620219476,-17.314519768600757,135662.88743306365,-268739.9370685388,110704.63545956311,27691.320505510434,-130343.98110346525,-96.0793210064744,-47.679455245043734,135662.88743306365,-110631.34354310395,110704.63545956311,27691.320505510434,27764.612421969592,20.465886394809864,3.7941355214250905,austin,"Austin, TX",TX,True
St. Johns,Austin,325071.4239881109,5.943837163662735,-9.36232414432765,473190.0022619933,-31.30213604806318,76.5,414.6357155399473,1.0,17.526652452025587,86,1730.166635925921,595.9642773115366,135.44642666171288,270.89285332342575,2732.470193222596,200,300,75,12.439071466198419,587.4390714661985,3319.909264688795,-2905.2735491488475,-34863.28258978617,-53.62403462302064,2112.964255922721,1943.9271154489034,-788.5430777736929,-9462.516933284314,-14.554519768600752,74766.4275172655,-174316.41294893084,61011.45463969733,15261.219531790848,-98043.73877744266,-131.13337367202925,-100.0,74766.4275172655,-51252.04394012985,61011.45463969733,15261.219531790848,25020.63023135833,33.4650605388099,5.943305128393472,austin,"Austin, TX",TX,True
Zilker,Austin,843391.4474699567,5.656792528685495,-7.577537121848077,1180425.7154997194,-28.551925259192036,135.0,1365.8285714285712,2.0,36.734693877551024,277,4488.883475316356,1546.2176536949207,351.413103112482,702.826206224964,7089.340438348723,200,300,75,40.97485714285713,615.9748571428571,7705.31529549158,-6339.486724063009,-76073.84068875611,-45.09995976184357,5482.044408554719,5043.480855870342,-2045.8595824783815,-24550.31498974058,-14.554519768600752,193980.03291809006,-380369.20344378054,158293.02498980623,39594.935393474065,-182481.24306050024,-94.07217862343322,-43.169821294500196,193980.03291809006,-132972.42493403808,158293.02498980623,39594.935393474065,64915.53544924222,33.4650605388099,5.943305128393472,austin,"Austin, TX",TX,True
Barton Hills,Austin,830580.8839195677,5.595796650521256,-6.446649221750434,1118530.349816642,-25.743554114939947,156.5,1334.848559314701,2.0,27.512810405991328,150,4420.700276158554,1522.7316205192074,346.0753682998199,692.1507365996398,6981.658001577221,200,300,75,40.04545677944103,615.045456779441,7596.703458356662,-6261.85489904196,-75142.25878850353,-45.23476294921579,5398.77574547719,4966.873685839015,-2014.7843157382058,-24177.41178885847,-14.554519768600752,191033.60330150058,-375711.29394251766,155888.65764377918,38993.51426494203,-180829.12203379645,-94.65827943809508,-44.34089314499202,191033.60330150058,-130952.6609144041,155888.65764377918,38993.51426494203,63929.51099431711,33.4650605388099,5.943305128393472,austin,"Austin, TX",TX,True
Parker Lane,Austin,333682.45494869177,5.899091630110154,-8.966646081881857,481584.390492334,-30.71153020396673,126.0,1832.4444444444443,2.0,38.82352941176471,35,1775.9981589990382,611.7511674059349,139.0343562286216,278.0687124572432,2804.852395090838,200,300,75,54.97333333333333,629.9733333333334,3434.8257284241713,-1602.381283979727,-19228.575407756725,-28.812685717493565,2168.9359571664963,1995.4210805931766,-809.4313144976613,-9713.175773971936,-14.554519768600763,76746.96463819912,-96142.87703878363,62627.627228499565,15665.484023182391,-17849.76578710167,-23.25794364799848,-5.156693463790186,76746.96463819912,-52609.69307380967,62627.627228499565,15665.484023182391,25683.418177872285,33.4650605388098,5.94330512839345,austin,"Austin, TX",TX,True
Georgian Acres,Austin,287556.34423154243,5.5676266759197235,-8.750207165137958,412894.596115609,-30.355992319398705,94.0,1675.5348837209299,1.0,64.4776119402985,17,1530.4956265747928,527.1866310911611,119.81514342980934,239.63028685961868,2417.1276879553816,200,300,75,50.26604651162789,625.2660465116279,3042.3937344670094,-1366.8588507460795,-16402.306208952956,-28.520160549380368,2300.4507538523394,2116.414693544152,-300.7129944112294,-3608.5559329347525,-6.2745197686007534,66137.95917325477,-82011.53104476478,53970.38791413914,13499.98853555732,-14541.154595068321,-21.98609509098453,-4.844388760884266,66137.95917325477,-19545.102908576348,53970.38791413914,13499.98853555732,47925.273541120114,72.46258297080989,11.516460668310181,austin,"Austin, TX",TX,True
Windsor Hills,Austin,344183.84323260555,5.266416022937159,-7.431367782349052,474110.84232931345,-27.404350944259082,77.0,340.5813291007059,1.0,13.987617518917679,18,1831.8909576241044,631.0037125931102,143.40993468025232,286.81986936050464,2893.1244742579715,200,300,75,10.217439873021176,585.2174398730211,3478.341914130993,-3137.760585030287,-37653.12702036345,-54.69914953985332,2237.194981011936,2058.219382530981,-834.9050917269906,-10018.861100723887,-14.554519768600763,79162.28394349928,-188265.63510181726,64598.59399967076,16158.495651283069,-107508.54545086343,-135.80778635391042,-100.0,79162.28394349928,-54265.38340535723,64598.59399967076,16158.495651283069,26491.7062455966,33.46506053880987,5.94330512839345,austin,"Austin, TX",TX,True
South Lamar,Austin,507257.5564214765,5.339613337754057,-6.512813159727715,683540.5503623089,-25.789690728281457,105.0,963.9614578969417,2.0,30.774289002137103,194,2699.8377438856255,929.9721867727068,211.3573151756152,422.7146303512304,4263.881876185178,200,300,75,28.91884373690825,603.9188437369082,4867.8007199220865,-3903.8392620251448,-46846.071144301735,-46.175823850495476,3043.545338528859,2800.0617114465504,-1463.8201647386277,-17565.841976863532,-17.314519768600753,116669.23797693959,-234230.35572150868,95205.29677620792,23814.363110523904,-115210.69583477685,-98.74984857409369,-58.371331117782056,116669.23797693959,-95142.26618468095,95205.29677620792,23814.363110523904,23877.393702050875,20.46588639480991,3.7941355214250905,austin,"Austin, TX",TX,True
MLK 183,Austin,379533.02289248694,6.256064086149071,-8.449294482642378,535804.7230088296,-29.165793694164112,0.0,0.0,0.0,0.0,0,2020.0341370661547,695.8105419695594,158.13875953853622,316.27751907707244,3190.2609576513228,200,300,75,0.0,575.0,3765.2609576513228,-3765.2609576513228,-45183.131491815875,-59.52463786611688,2466.964648801165,2269.6074768970716,-920.6534807542512,-11047.841769051014,-14.554519768600759,87292.595265272,-225915.65745907938,71233.1509376815,17818.04352676135,-136864.46299463653,-156.78817038114335,-100.0,87292.595265272,-59838.67461302132,71233.1509376815,17818.04352676135,29212.519851421523,33.46506053880984,5.94330512839345,austin,"Austin, TX",TX,True
Wooten,Austin,417027.5653195782,5.112450696533388,-9.65407604520685,633554.0096822331,-34.17647762520774,122.0,1216.0,2.0,46.55172413793103,49,2219.5958381249193,764.5505364192267,173.76148554982424,347.5229710996485,3505.430831193619,200,300,75,36.48,611.48,4116.910831193619,-2900.910831193619,-34810.92997432343,-41.736965214334184,2710.6791745772584,2493.824840611078,-1011.6059905825409,-12139.271886990491,-14.554519768600757,95916.340023503,-174054.64987161715,78270.3630877423,19578.31035121408,-76205.97643266077,-79.45046319947939,-27.12804726028397,95916.340023503,-65750.21218348037,78270.3630877423,19578.31035121408,32098.46125547601,33.46506053880988,5.94330512839345,austin,"Austin, TX",TX,True
Heritage Hills,Austin,398217.1610040379,5.218452856358713,-7.053815379441797,540313.9900690778,-26.298935744172237,0.0,0.0,0.0,0.0,0,2119.478966713253,730.0647951740694,165.9238170850158,331.8476341700316,3347.31521314237,200,300,75,0.0,575.0,3922.31521314237,-3922.31521314237,-47067.78255770844,-59.098134343375484,2588.411546526246,2381.338622804147,-965.9765903382231,-11591.719084058677,-14.554519768600752,91589.94703092871,-235338.9127885422,74739.90779403446,18695.21301149926,-141903.79198300847,-154.93380723878946,-100.0,91589.94703092871,-62784.48958416955,74739.90779403446,18695.21301149926,30650.631221364172,33.46506053880985,5.94330512839345,austin,"Austin, TX",TX,True
North Lamar,Austin,292459.81893010426,5.76564838276552,-7.282833148690749,400733.15529161313,-27.018811628580742,89.5,1656.7999999999997,1.0,87.69662921348313,8,1556.5939781908019,536.1763347051912,121.85825788754345,243.7165157750869,2458.3450865586233,200,300,75,49.70399999999999,624.704,3083.0490865586235,-1426.2490865586237,-17114.989038703483,-29.260411056319906,2339.6785514408343,2152.5042673255675,-305.84081923305575,-3670.089830796669,-6.274519768600747,67265.75835392399,-85574.94519351741,54890.702965145116,13730.193340782134,-16954.048887590165,-25.204575555939062,-5.642808416957045,67265.75835392399,-19878.390347770583,54890.702965145116,13730.193340782134,48742.50595815667,72.4625829708099,11.516460668310202,austin,"Austin, TX",TX,True
